level,title,sha256,md5,max_score,rateave,hardrec,difficulty
★13,SIREN OF DAWN [Another+],0317554392e93337240b46d7914d150f564619b36c03be9848276c97bd1e72fa,6558c37837065d4703510819959a9fc6,3472,94.9237,20.5,17
★13,Soul of Deep-sea Fish[RUSH],d83b390e2ff397f5387293e5550365896d2223e5ae1d90be5271a440ca2ad129,bd26ab5b4e196ecc78c0b90f1af81576,4304,96.7995,15.7,12
★13,squartatrice,c4dde0e387d0016fa5a17b896fbdb669765fc323dda5f6422a8ac296bec93234,2cb7ca662fa47655ac21421ed7b8aea3,4114,93.7409,21.1,19
★13,Synth Stream(RUNOTHER7),f802eb3b08b05b21fd5e1a9afa103787fca3f3827184716a28df0a170ff7d740,d8aa55c5fff09801096eac9114755dda,5320,95.578,18.85,15
★13,Toki (Sound piercer's Timesucker Remix) [Personality],85bd616c7c739d7a1e0a26cfdd67b2d702475e4998a50914db7ff38ebb0db067,7fd4d1b5a767fd97343129157782a95f,4444,97.356,17.17,11
★13,アイーシャの剣-Forcing breakthrough- [X-sword],ae6a300cb28c6359486fc002fd00880464dd0e8e028a96836b29a884e48bc1c0,b3a1166d2fb545005f81ae0286b65a91,4760,97.4212,16.73,10
★13,アズアラス [Hell],fa3d4f95fae64169cd06f7dee6d7d5afcb780d295506d0988008bd06eee3b570,bd04e1b7c7f225f2873f0943af9574a4,4000,92.05,18.42,21
★13,クロートーと星の観測者 [MANIAC],11a4d58a4fc19356eac677b841c8e4fbea4af95feda7835f71d32982bf8db038,4c1ca130592c2b0d1bd0b55cceb94f5c,4346,99.5456,15.98,6
★13,コケシネコ☆クライシス [7KEYS RUNOTHER],ef4c363e05956a637efe71b3834894809504c26a7a02d89b6439ea2935511797,f13174cf11d942a609c418ddfe2ad6fb,4000,95.2,17.8,16
★13,タイヨウパラダイス(Lemon beads J-core bootleg) -BMS Edit- [STRIPE or WHITE?],e783b0539ec671cb63edd1f34a0238a3ec0e6be18925c75c91ab264b9aa9909b,d26737127ce25f92f6b58b360e9d117b,5656,98.2276,16.26,10
★13,乙女ノススメ！ (Lovely),9b72fd467f844241e640a340ea866173f3e541bb824b85fea4f3e771452fbf17,bcce554a7b0f89f62d621bf68c46da94,5742,97.8753,17.07,11
★13,妹様は彼女なのだっ！,8ea2782b3370bd75641e9d6921c7c6e862f9cf91ab6a218aeb18d6ae1c405563,3aa1a582cb253db8ae731ce323782e42,4506,94.0357,18.89,18
★13,"少女の檻 ""Last Night, Last Dancing.""",2490501c5b5d5f8ea87f71823d58bcc6863618c41814273a9fe2b56311708fb6,179ca83e83a13dceabb6fbcd093aa33c,6546,97.5519,16.63,11
★13,旧地獄街道を行く ～反逆のパルスィ～ [妬まスィ],1c4bdcc33020b1b2e216772fc7b5cb13646d5cb3c1e1498c63f78c33433affd0,79589b49a3d2efcc88b8e987f2ecda96,5804,97.8506,17.71,11
★13,滝行Lv28 [皆伝取りました],257f8378ba32576b9688f20fbbf338289b3babd49ce07bed5b37ffd29203bf1d,a1fc5981f156c9996344e43949785199,5800,98.2242,17.31,11
★13,白と臙脂のオモチャバコ[DELAY],1c1736d6cfc3b9611971b00a0cc270275bf74175560843e9b238d636e5050b05,8b71de41395ff4f802b4e6fa7d92f9c0,3458,95.4381,14.24,15
★13,黯,e789993517dc10b1b7b1fd4a3cd61234afd55ec8e88a1770af940ff0db8dbb5b,fcb586590be9fb5c38c829c8ec114769,4012,94.0367,21.59,19
★13,ＤＱⅢ Battle -Hyper-,68ba75480e70b6665558c8c6e0357c0a38c06f80549d381c5f1742b6e375ba5c,a98602c097e7bc03f024bac1c551def0,3002,92.6882,17.47,21
★14,Angelic Snow -extreme-,e87888db9f3c93aa5a6f3de296b232b0af1b739edac19bd0ebc77515d7eb454f,462c47942b654985da2e94c6e31a238b,4900,96.8521,17.26,11
★14,Apollo [1969.07.16],d7037bd4aeff4bb89b945c1b703c067734aff3e399c1df9cbaaa01ca4d264a63,92580909b87a5c797cda5dc09b47605e,4638,96.9437,17.82,12
★14,Cinderella Cage -Trancecore Mix- [transient],0838cc0d4535f20174c7007bfd30a55beabc90aabce59957af11da1b84c38018,d7812341ef0045650e04ed477325b5d6,4562,97.1285,18.18,12
★14,Cross breed -EXTRA-,3c5d772de1af00ae5cce5cb814617df53264a51349df55c8f56ddb8bae336945,39f78361dc62f7ac355fb73e628bb336,5412,96.6186,18.77,13
★14,Crystal Wind [UV],99b89578064d22616c4fdcc949a809616049bf35de7c17be2b1293064e525fc4,567572d8ae089b35a6f38d1d90097a72,3720,98.3468,18.19,12
★14,Cynic -drrrr-,cbfe228eb50d3c092ff9e9a2065234df3fefa3a49eb45edb5b36110c57261227,108e532b623118c25ddbccc7aa6f4fd3,4816,95.7901,18.53,14
★14,DRAGONLADY (7key（・３・）),6efea1a826b6052fa571fa9c14e2e10a6916d5d28dd3e1a4b341f0a9294f7bac,91aee09a11633f1013234cd49304681e,3178,95.988,18.37,14
★14,E reviver -imaging you-(MANIAC+),2e71b894e4955a0b0cc70a6baca10b87ce37ba5754a7e92f71aded8e1d72c28d,913cc1267559c30ab9dc69f58c1f29af,4110,94.8601,18.76,16
★14,eth剣 [ 7Key_Clover ],e1fb32766d1057d1ae803277ac5c144aeb2e7d53a28f70345ee7012943583f78,158955b82c49f25c23bc2da39cb3bea4,4736,94.8585,18.01,16
★14,far in the blue sky... [29Another],041cd2510e94c02ed11be97b238e60d187136b0b04025e465d63aada19e653d5,46db0fa9979c1b726400726ec2d10f37,6060,97.4093,18.45,11
